assessment,cluster,fixed_slope,best_intercept,n_points,avg_error
FM-lex,good,0.7,1.5075376884421985,21,2.5723491145298096
FM-lex,poor,0.7,0.5025125628140614,15,7.233532877424674
FM-uex,good,0.7,-0.5025125628140756,21,7.678441975071114
FM-uex,poor,0.7,-21.608040201005025,15,11.140865817001348
BI,good,0.7,17.58793969849245,21,8.332288478042901
BI,poor,0.7,11.557788944723612,15,15.7534044347715
MRS,good,0.7,-0.5025125628140756,21,11.385343737713516
MRS,poor,0.7,-0.5025125628140756,15,13.104966232758514
NIHSS,good,0.7,0.5025125628140614,21,2.8136680359124906
NIHSS,poor,0.7,0.5025125628140614,15,5.14913106045943
